subcode	almonds	apples	avocado	bacon	beef	beets	blackberries	blueberries	brussels_sprouts	carrots	cashews	cheese	chocolate	eggs	guacamole	kale	lamb	lettuce	olive_oil	olives	onions	pork	radishes	rasberries	red_peppers	salad_dressing	salmon	salsa	sauerkraut	sausage	spinach	tomatoes	tuna	vinegar	yogurt
sub003	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1
sub004	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
sub005	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
sub006	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
sub009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sub011	0	0	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1
sub012	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1
sub013	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1
sub014	0	1	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1
sub015	0	0	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
sub016	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1
sub019	0	0	0	1	0	1	0	1	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1
sub020	1	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1
sub021	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
sub022	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1
sub024	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1
sub025	0	0	0	1	0	1	0	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	1	1	1
sub026	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1
sub027	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1
sub028	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	1
sub029	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1
sub030	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
sub035	0	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
sub037	0	0	0	1	0	1	0	1	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	1	0	1	1	1
sub038	0	0	0	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1
sub039	0	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	1	0	1	1	1
sub040	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	1
sub041	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1
